state,avg_annual_salary
Washington,143356
New York,136712
Maryland,133184
Virginia,132720
California,132134
Delaware,131443
Oklahoma,126097
Massachusetts,125443
Nevada,124884
Vermont,122857
Oregon,121511
Wisconsin,121427
New Jersey,121320
Maine,120340
Nebraska,120265
Hawaii,120151
Alaska,118116
Minnesota,118081
Texas,118053
Wyoming,116792
Indiana,115878
Arizona,115841
Rhode Island,114774
South Dakota,114676
North Dakota,114589
Pennsylvania,114376
New Hampshire,114255
Idaho,114167
Iowa,114153
Georgia,113874
Connecticut,113540
Illinois,111542
Montana,111136
New Mexico,109925
Ohio,109711
Utah,107515
Colorado,107498
Tennessee,107382
Mississippi,105795
South Carolina,103816
Michigan,102862
Missouri,102308
Kansas,101716
West Virginia,98552
Louisiana,98456
Alabama,97895
Florida,97792
Kentucky,95263
North Carolina,94789
Arkansas,93779
