state,avg_annual_salary
Washington,108915
New York,103867
Maryland,101187
Virginia,100834
California,100388
Delaware,99863
Oklahoma,95802
Massachusetts,95305
Nevada,94881
Vermont,93341
Oregon,92319
Wisconsin,92253
New Jersey,92173
Maine,91428
Nebraska,91371
Hawaii,91285
Alaska,89739
Minnesota,89712
Texas,89690
Wyoming,88732
Indiana,88038
Arizona,88010
Rhode Island,87199
South Dakota,87125
North Dakota,87059
Pennsylvania,86897
New Hampshire,86804
Idaho,86739
Iowa,86728
Georgia,86516
Connecticut,86262
Illinois,84744
Montana,84436
New Mexico,83516
Ohio,83353
Utah,81684
Colorado,81671
Tennessee,81583
Mississippi,80378
South Carolina,78875
Michigan,78149
Missouri,77728
Kansas,77279
West Virginia,74874
Louisiana,74802
Alabama,74375
Florida,74298
Kentucky,72376
North Carolina,72016
Arkansas,71249
