state,avg_annual_salary
New York,98238
New Jersey,84878
Wisconsin,84340
Nevada,83624
Wyoming,83611
Massachusetts,83473
Indiana,82490
Arizona,82463
New Hampshire,82409
Pennsylvania,82161
Oregon,81828
Minnesota,81303
Washington,81244
Georgia,81062
Hawaii,80736
Montana,79115
Alaska,79092
Iowa,78124
Rhode Island,77290
South Dakota,77115
North Dakota,77057
Connecticut,77036
New Mexico,76401
California,75874
Ohio,75739
Tennessee,74134
Illinois,73973
Utah,73901
Vermont,72641
Virginia,72494
Maryland,72435
Mississippi,71412
Delaware,71386
Colorado,71206
West Virginia,70795
Alabama,69689
Florida,69613
Maine,69468
Oklahoma,68874
South Carolina,68682
Kansas,68643
Michigan,68115
Louisiana,67789
Missouri,67649
Texas,67273
Nebraska,65690
Idaho,65296
Kentucky,63288
North Carolina,62709
Arkansas,62193
