state,avg_annual_salary
California,130195
Arizona,109241
Oregon,109293
New Jersey,111094
Delaware,112983
Washington,109508
Pennsylvania,105752
Massachusetts,109390
Texas,102534
Nevada,106840
Maryland,111158
New York,108973
Michigan,104299
Virginia,105292
Rhode Island,100993
Indiana,104107
North Carolina,98472
District of Columbia,104676
Connecticut,101915
Ohio,98856
Montana,98570
Utah,96680
New Hampshire,98591
Illinois,97276
Louisiana,99102
Georgia,97219
Idaho,96695
North Dakota,92277
Tennessee,96263
Vermont,97204
Minnesota,97481
Colorado,97246
Mississippi,96091
Iowa,94725
South Carolina,96506
Wyoming,93878
Alaska,96397
Kansas,93933
Maine,95697
Missouri,93979
Wisconsin,93911
Florida,94742
West Virginia,91310
New Mexico,92392
Alabama,92024
Arkansas,89566
Oklahoma,93268
Kentucky,90553
South Dakota,89042
Hawaii,80274
Nebraska,88416
