state,avg_annual_salary
New York,145027
California,143099
Vermont,130783
Maine,129931
Massachusetts,128900
Nevada,128653
New Jersey,127259
Wisconsin,126987
Washington,126680
Oregon,125467
Hawaii,123953
Idaho,123923
Wyoming,123698
Minnesota,123044
Indiana,122439
Arizona,122400
Alaska,121680
New Hampshire,121396
Pennsylvania,121315
Georgia,120321
Iowa,118653
Rhode Island,118510
South Dakota,118340
North Dakota,118252
Connecticut,117597
Montana,117429
New Mexico,114991
Illinois,114459
Ohio,114445
Virginia,112528
Maryland,112378
Tennessee,112017
Utah,111953
Delaware,110729
Colorado,110256
Mississippi,109345
Oklahoma,106910
South Carolina,106427
Michigan,105489
Kansas,105118
Texas,104965
Missouri,104859
West Virginia,104532
Alabama,103437
Florida,103328
Louisiana,102592
Nebraska,101966
Kentucky,97824
North Carolina,97172
Arkansas,96232
